date,venue,city,ticket_link,is_past
APR 08-13 2025,Europe Tour (Paris-Hague-Madrid-CCS),Europe/Caracas,,true
MAY 10 2025,PL x weed420 call,Online,,true
MAY 30 2025,Habitar El Cine,Caracas VE,,true
JUN 17 2025,Cumpleaño Titi,Caracas VE,,true
JUL 09 2025,James x Álvaro,Online,,true
OCT 03-04 2025,Out.Fest,Barreiro PT,,false
OCT 09-11 2025,Unsound Festival,Polonia PL,,false
OCT 29-31 2025,C2C Festival,Torino IT,,false
NOV 01 2025,Le Guess Who,Utrecht NL,,false
NOV 04-08 2025,Le Guess Who,Utrecht NL,,false
NOV 06 2025,MIRA Festival,Barcelona ES,,false
NOV 11 2025,ALICE,Copenhagen DK,,false
