date,venue,city,ticket_link,is_past
APR 08 2025,Weed420 Show,Paris FR,,
APR 10 2025,Rewire Festival,The Hague NL,,
APR 11 2025,Weed420 Show,Madrid ES,,
MAY 10 2025,Charla Doble R,Online,,,
MAY 30 2025,Habitar El Cine,Caracas VE,,
JUN 17 2025,Cumpleaño,Caracas VE,,
JUL 09 2025,James x Álvaro,Online,,,
NOV 07 2025,MIRA Festival,Barcelona ES,,
OCT 03 2025,Out.Fest,Barreiro PT,,
OCT 09 2025,Unsound,Polonia PL,,
OCT 10 2025,Unsound,Polonia PL,,
OCT 11 2025,Unsound,Polonia PL,,
OCT 29 2025,C2C,Torino IT,,
OCT 30 2025,C2C,Torino IT,,
OCT 31 2025,C2C,Torino IT,,
NOV 01 2025,Le Guess Who,Utrecht NL,,
NOV 04 2025,Le Guess Who,Utrecht NL,,
NOV 05 2025,Le Guess Who,Utrecht NL,,
NOV 06 2025,MIRA Festival,Barcelona ES,,
NOV 06 2025,Le Guess Who,Utrecht NL,,
NOV 07 2025,Le Guess Who,Utrecht NL,,
NOV 08 2025,Le Guess Who,Utrecht NL,,
NOV 11 2025,ALICE,Copenhagen DK,,
